ุ่๔๐,ฬ_1,ฬ_2,ฬ_3,ฬ_4,ฬ_5,ฬ_6,ฬ_7,ฬ_ศาฮร,ภ_1,ภ_2,ภ_ศาฮร,ะ_1,ะ_2,ะ_3,ะ_4,ะ_5,ะ_ศาฮร
ฤ0144,2,2,0,1,0,0,0,5,5,1,6,2,0,2,0,1,5
ฤ0145,0,0,0,0,0,0,0,0,7,2,9,2,0,2,1,0,5
ฤ0146,2,2,1,1,0,0,0,6,6,2,8,3,0,1,1,1,6
ฤ0147,0,0,0,1,1.5,0,0,2.5,3,1,4,1,0,0,2,1,4
ฤ0150,2,2,1,0,1.5,3,0,9.5,2,0,2,0,0,2,1,1,4
ฤ0151,2,0,2,1,0,0,0,5,5,3,8,0,1,1,2,1,5
ฤ0152,0,0,0,1,0,3,0,4,5,2,7,0,1,1,1,1,4
ฤ0153,2,2,0,0.5,0,1,0,5.5,5,2,7,3,1,1,1,1,7
ฤ0155,0,1,0,1,0,3,0,5,5,1,6,1,0,2,1,0,4
ฤ0156,0,0,0,1,0,1,0,2,4,2,6,0,0,1,0,1,2
ฤ0159,2,0,0,0.5,0,0,0,2.5,4,1,5,0,0,1,1,1,3
ฤ0160,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,1,2
ฤ0162,0,0,0,0.5,0.5,0,0,1,2,0,2,1,0,0,0,0,1
ฤ0163,0,0,0,0.5,0,0,0,0.5,4,0,4,1,1,2,1,1,6
ฤ0164,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,1,3
ฤ0166,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,2
ฤ0167,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
ฤ0168,0,2,0,1,0,3,0,6,7,2,9,0,1,2,2,1,6
ฤ0169,0,0,0,0.5,0,0,0,0.5,4,0,4,0,0,1,1,0,2
ฤ0170,0,0,0,0,0,0,0,0,4,1,5,2,0,1,2,1,6
ฤ0171,0,2,2,1,0,0,0,5,4,0,4,0,0,2,2,1,5
ฤ0172,0,2,0,1,0,0,0,3,7,2,9,3,1,1,2,1,8
ฤ0176,2,2,2,1,1,1,0,9,4,1,5,3,2,2,2,1,10
ฤ1003,2,0,0,1,0,0,0,3,5,1,6,1,0,0,0,0,1
